Pohlavie,Location,Grade,Free Time Activity,Favorite School Subject,Favorite Game,Favorite Movie,Dream Travel Destination,Skilled Activity/Game,Proud Achievement,Top World Priority,Importance of Helping Others,Contribution to a Better World,Preferred Career Field
dievča,dedina,5.ročník,počúvam hudbu,Dejepis,vytváranie príbehov alebo scenárov,Historický film,do historického mesta,"Umenie a kreatívne aktivity: Maľovanie, kreslenie, remeselné práce alebo vytváranie umeleckých diel",vytvoril som umelecké dielo,rodina;zdravie;príroda a životné prostredie,vznikajú nové a silné priateľstvá,spravodlivosť,"architektúra, stavebníctvo, geodézia (napr. architekt, stavebný dozor, geodet);veterinárske lekárstvo (napr. veterinárny lekár, veterinárny asistent)"
chlapec,dedina,5.ročník,hrám videohry,"Vedecké predmety (biológia, chémia, fyzika)",roblox,Animovaný film,do veľkého mesta,strielačky fortnite,"naučil som sa niečo nové (jazyk, šport)",rodina;priatelia;láska,radosť na oboch stranách,boj proti chudobe,youruber
chlapec,dedina,5.ročník,hrám videohry,Matematika,role-playing hra,Dobrodružný film,do džungle/tropického lesa,strielački,"športové výkony: vyhral som zápas, dosiahol som osobný rekord",rodina;mier a spravodlivosť;šťastie a radosť,"mám rád, keď som vzorom pre druhých",ochranu životného prostredia,"architektúra, stavebníctvo, geodézia (napr. architekt, stavebný dozor, geodet); "
dievča,dedina,5.ročník,hrám sa vonku s priateľmi,Telesná výchova,športové hry,Dokumentárny film,na exotickú pláž/ostrov,"Športové aktivity: Futbal, basketbal, plávanie, gymnastika, tenis alebo iný šport","športové výkony: vyhral som zápas, dosiahol som osobný rekord",rodina;priatelia;láska,"súcitím s ľuďmi, ktorí majú ťažkosti (empatia)",spravodlivosť,"marketing a reklama (napr. grafik, marketingový analytik)"
dievča,dedina,5.ročník,hrám sa vonku s priateľmi,Matematika,hra na povolania lekár/veterinár,Romantický film,na exotickú pláž/ostrov,"Hudobné nástroje: Klavír, gitara, husle, spev alebo iný hudobný nástroj","naučil som sa niečo nové (jazyk, šport)",rodina;zdravie;priatelia;láska;vzdelanie,vznikajú nové a silné priateľstvá,spravodlivosť,"ekonomika, financie, účtovníctvo (napr. audítor, daňový špecialista, účtovník);informačné technológie (napr. programátor, IT analytik, web dizajnér);architektúra, stavebníctvo, geodézia (napr. architekt, stavebný dozor, geodet);remeselné živnosti (napr. kuchár, kaderník, murár, tesár, mäsiar, manikúra)"
chlapec,dedina,5.ročník,hrám sa vonku s priateľmi,Matematika,ROBLOX,STRÁSCOVIA GALAXIJE,k moru do chorvádska,"Športové aktivity: Futbal, basketbal, plávanie, gymnastika, tenis alebo iný šport","učebné úspechy: dosiahol som vysoké hodnotenie z testu, zvládol som náročné učivo, zvládol som skúšku",rodina;zdravie;priatelia,rád robím dobré skutky,ochranu životného prostredia,"obchod a služby so zákazníkom (maklér, predavač)"
chlapec,dedina,5.ročník,hrám sa vonku s priateľmi,geografia a matematika,lego,Animovaný film,do Talianka,"Športové aktivity: Futbal, basketbal, plávanie, gymnastika, tenis alebo iný šport","naučil som sa niečo nové (jazyk, šport)",rodina;zdravie;láska;mier a spravodlivosť,rád robím dobré skutky,mier a bezpečnosť,"remeselné živnosti (napr. kuchár, kaderník, murár, tesár, mäsiar, manikúra)"
dievča,dedina,5.ročník,hrám sa z priateľmi,Matematika,počítačová hra ,Fantasy a Sci-fi film,do hotela pri mori,"Hudobné nástroje: Klavír, gitara, husle, spev alebo iný hudobný nástroj","učebné úspechy: dosiahol som vysoké hodnotenie z testu, zvládol som náročné učivo, zvládol som skúšku",rodina;priatelia;príroda a životné prostredie,radosť na oboch stranách,ochranu životného prostredia,"veterinárske lekárstvo (napr. veterinárny lekár, veterinárny asistent)"
chlapec,dedina,5.ročník,venujem sa športu,"Technické predmety (informatika, technická výchova)",športové hry,Akčný film,na exotickú pláž/ostrov,"Športové aktivity: Futbal, basketbal, plávanie, gymnastika, tenis alebo iný šport","naučil som sa niečo nové (jazyk, šport)",zdravie;priatelia;láska;sloboda,pomáhať druhým je pre mňa spoločenská zodpovednosť,zlepšenie inovácií a technológií,bankovníctvo (napr. bankový poradca)
chlapec,dedina,9.ročník,tvorím a modelujem rôzne projekty,"Technické predmety (informatika, technická výchova)",logické hry,Komédia,na exotickú pláž/ostrov,"Hranie logických hier (šach, sudoku), riešenie matematických hádaniek alebo účasť na matematických súťažiach",dosiahol som osobné ciele a viac sa spoznal,rodina;priatelia;láska,"súcitím s ľuďmi, ktorí majú ťažkosti (empatia)",zlepšenie inovácií a technológií,"remeselné živnosti (napr. kuchár, kaderník, murár, tesár, mäsiar, manikúra)"
dievča,dedina,9.ročník,počúvam hudbu,Jazyky,vytváranie príbehov alebo scenárov,Komédia,do veľkého mesta,"Umenie a kreatívne aktivity: Maľovanie, kreslenie, remeselné práce alebo vytváranie umeleckých diel",dosiahol som osobné ciele a viac sa spoznal,rodina;zdravie;priatelia,radosť na oboch stranách,spravodlivosť,"zdravotníctvo (napr. lekár, farmaceut, masér)"
chlapec,dedina,9.ročník,venujem sa športu,Telesná výchova,športové hry,Akčný film,na exotickú pláž/ostrov,"Športové aktivity: Futbal, basketbal, plávanie, gymnastika, tenis alebo iný šport",úspešne som prekonal svoj strach,rodina;zdravie;šťastie a radosť,rád robím dobré skutky,ochranu životného prostredia,Letecký mechanik (práca na dopravných lietadlách)
chlapec,dedina,9.ročník,venujem sa športu,Telesná výchova,športové hry,Akčný film,Barcelona ,"Športové aktivity: Futbal, basketbal, plávanie, gymnastika, tenis alebo iný šport","športové výkony: vyhral som zápas, dosiahol som osobný rekord",rodina;zdravie;priatelia,vznikajú nové a silné priateľstvá,ochranu životného prostredia,"športový odborník (napr. inštruktor, tréner);"
chlapec,dedina,9.ročník,hrám videohry,Matematika,logické hry,Fantasy a Sci-fi film,do vesmíru,"Hranie logických hier (šach, sudoku), riešenie matematických hádaniek alebo účasť na matematických súťažiach","učebné úspechy: dosiahol som vysoké hodnotenie z testu, zvládol som náročné učivo, zvládol som skúšku",rodina;zdravie;šťastie a radosť,vznikajú nové a silné priateľstvá,spravodlivosť,"informačné technológie (napr. programátor, IT analytik, web dizajnér)"
chlapec,dedina,9.ročník,hrám sa vonku s priateľmi,Telesná výchova,športové hry,Akčný film,na exotickú pláž/ostrov,"Športové aktivity: Futbal, basketbal, plávanie, gymnastika, tenis alebo iný šport","športové výkony: vyhral som zápas, dosiahol som osobný rekord",rodina;zdravie;priatelia;láska;vzdelanie;mier a spravodlivosť;šťastie a radosť;dobrosrdečnosť a pomoc druhým,"súcitím s ľuďmi, ktorí majú ťažkosti (empatia)",spravodlivosť,"bankovníctvo (napr. bankový poradca);manažment (napr. vedúci predajne, projektový manažér);obchod a služby so zákazníkom (maklér, predavač);športový odborník (napr. inštruktor, tréner)"
chlapec,dedina,9.ročník,venujem sa športu,Telesná výchova,športové hry,Akčný film,na exotickú pláž/ostrov,"Športové aktivity: Futbal, basketbal, plávanie, gymnastika, tenis alebo iný šport","športové výkony: vyhral som zápas, dosiahol som osobný rekord",rodina;zdravie;láska,rád robím dobré skutky,spravodlivosť,"doprava a logistika (napr. pilot, lodný kapitán, rušňovodič, kuriér)"
chlapec,mesto,8.ročník,hrám videohry,Matematika,strielacky,Komédia,na hory,"Programovanie a technológie: Programovanie počítačových hier, tvorba webových stránok alebo práca s technologickými zariadeniami","naučil som sa niečo nové (jazyk, šport)",rodina;zdravie;šťastie a radosť,radosť na oboch stranách,zlepšenie umeleckej oblasti,"cestovný ruch a hotelierstvo (napr. delegát, pracovník cestovnej kancelárie)"
chlapec,mesto,8.ročník,hrám sa vonku s priateľmi,Dejepis,hra so stavebnicou,Komédia,do historického mesta,"Dramatické umenie: Herectvo, réžia, divadelné predstavenia","učebné úspechy: dosiahol som vysoké hodnotenie z testu, zvládol som náročné učivo, zvládol som skúšku",rodina,rád robím dobré skutky,mier a bezpečnosť,"architektúra, stavebníctvo, geodézia (napr. architekt, stavebný dozor, geodet)"
chlapec,mesto,8.ročník,venujem sa športu,programovanie,športové hry,Akčný film,do ameriky,"Športové aktivity: Futbal, basketbal, plávanie, gymnastika, tenis alebo iný šport","športové výkony: vyhral som zápas, dosiahol som osobný rekord",rodina;zdravie;priatelia;láska;šťastie a radosť;sloboda;dobrosrdečnosť a pomoc druhým,radosť na oboch stranách,lepšiu zdravotnícku starostlivosť,"biznisman, sportovec"
dievča,mesto,8.ročník,Vyrábam šperky a háčkujem ,Matematika,výtvarné hry,Fantasy a Sci-fi film,na exotickú pláž/ostrov,"Hudobné nástroje: Klavír, gitara, husle, spev alebo iný hudobný nástroj",úspešne som prekonal svoj strach,rodina;láska;mier a spravodlivosť,"súcitím s ľuďmi, ktorí majú ťažkosti (empatia)",mier a bezpečnosť,"zdravotníctvo (napr. lekár, farmaceut, masér)"
dievča,dedina,8.ročník,počúvam hudbu,Jazyky,role-playing hra,Fantasy a Sci-fi film,do džungle/tropického lesa,"Športové aktivity: Futbal, basketbal, plávanie, gymnastika, tenis alebo iný šport",vytvoril som umelecké dielo,zdravie,"súcitím s ľuďmi, ktorí majú ťažkosti (empatia)",ochranu životného prostredia,"športový odborník (napr. inštruktor, tréner)"
dievča,mesto,8.ročník,hrám sa vonku s priateľmi,Matematika,logické hry,Komédia,do veľkého mesta,"Hranie logických hier (šach, sudoku), riešenie matematických hádaniek alebo účasť na matematických súťažiach","športové výkony: vyhral som zápas, dosiahol som osobný rekord",rodina;zdravie;priatelia,vznikajú nové a silné priateľstvá,ochranu životného prostredia,"remeselné živnosti (napr. kuchár, kaderník, murár, tesár, mäsiar, manikúra)"
dievča,dedina,8.ročník,venujem sa športu,Telesná výchova,športové hry,Komédia,na exotickú pláž/ostrov,"Športové aktivity: Futbal, basketbal, plávanie, gymnastika, tenis alebo iný šport","športové výkony: vyhral som zápas, dosiahol som osobný rekord",rodina;priatelia;Šport,rád robím dobré skutky,ochranu životného prostredia,"cestovný ruch a hotelierstvo (napr. delegát, pracovník cestovnej kancelárie)"
dievča,mesto,8.ročník,hrám sa vonku s priateľmi,Matematika,strielačky,Komédia,na exotickú pláž/ostrov,Jazykové zručnosti,"učebné úspechy: dosiahol som vysoké hodnotenie z testu, zvládol som náročné učivo, zvládol som skúšku",rodina;priatelia;láska,vznikajú nové a silné priateľstvá,mier a bezpečnosť,"bankovníctvo (napr. bankový poradca);informačné technológie (napr. programátor, IT analytik, web dizajnér);obchod a služby so zákazníkom (maklér, predavač);pedagogické povolania (napr. učiteľ, vychovávateľ);remeselné živnosti (napr. kuchár, kaderník, murár, tesár, mäsiar, manikúra)"
chlapec,mesto,8.ročník,hrám videohry,Telesná výchova,hra so stavebnicou,Akčný film,na hory,"Športové aktivity: Futbal, basketbal, plávanie, gymnastika, tenis alebo iný šport",zúčastnil som sa matematickej súťaže,rodina;zdravie;priatelia;šťastie a radosť,rád robím dobré skutky,spravodlivosť,"ekonomika, financie, účtovníctvo (napr. audítor, daňový špecialista, účtovník)"
dievča,dedina,8.ročník,hrám videohry,"Vedecké predmety (biológia, chémia, fyzika)",logické hry,Anime,do krajiny s exotickou kuchyňou,Debaty a komunikácia,dosiahol som osobné ciele a viac sa spoznal,sloboda;peniaze,neni,zlepšenie inovácií a technológií,"manažment (napr. vedúci predajne, projektový manažér);zdravotníctvo (napr. lekár, farmaceut, masér)"
dievča,dedina,8.ročník,venujem sa športu,náboženstvo,logické hry,Komédia,na exotickú pláž/ostrov,"Športové aktivity: Futbal, basketbal, plávanie, gymnastika, tenis alebo iný šport","športové výkony: vyhral som zápas, dosiahol som osobný rekord",rodina;zdravie;šťastie a radosť,"súcitím s ľuďmi, ktorí majú ťažkosti (empatia)",ochranu životného prostredia,"remeselné živnosti (napr. kuchár, kaderník, murár, tesár, mäsiar, manikúra)"
dievča,mesto,8.ročník,hrám videohry,Jazyky,športové hry,Fantasy a Sci-fi film,na exotickú pláž/ostrov,"Športové aktivity: Futbal, basketbal, plávanie, gymnastika, tenis alebo iný šport","športové výkony: vyhral som zápas, dosiahol som osobný rekord",zdravie;priatelia;láska,rád robím dobré skutky,ochranu životného prostredia,"marketing a reklama (napr. grafik, marketingový analytik)"
chlapec,mesto,8.ročník,hrám videohry,Telesná výchova,mobiné hry,kombinacie 1 3 7,do krajiny s exotickou kuchyňou,"Programovanie a technológie: Programovanie počítačových hier, tvorba webových stránok alebo práca s technologickými zariadeniami",naprogramoval som aplikáciu,rodina;zdravie;mier a spravodlivosť;sloboda,"súcitím s ľuďmi, ktorí majú ťažkosti (empatia)",ochranu životného prostredia,"marketing a reklama (napr. grafik, marketingový analytik)"
dievča,dedina,8.ročník,počúvam hudbu,Hudba,športové hry,Komédia,na hory,"Športové aktivity: Futbal, basketbal, plávanie, gymnastika, tenis alebo iný šport",úspešne som prekonal svoj strach,rodina;zdravie;priatelia;láska;príroda a životné prostredie,vznikajú nové a silné priateľstvá,spravodlivosť,"obchod a služby so zákazníkom (maklér, predavač)"
dievča,mesto,8.ročník,hrám sa vonku s priateľmi,Jazyky,športové hry,Animovaný film,do polárnych oblastí,"Športové aktivity: Futbal, basketbal, plávanie, gymnastika, tenis alebo iný šport","naučil som sa niečo nové (jazyk, šport)",rodina;zdravie;priatelia,"súcitím s ľuďmi, ktorí majú ťažkosti (empatia)",mier a bezpečnosť,bankovníctvo (napr. bankový poradca)
chlapec,mesto,8.ročník,hrám sa vonku s priateľmi,Telesná výchova,športové hry,Akčný film,na exotickú pláž/ostrov,"Športové aktivity: Futbal, basketbal, plávanie, gymnastika, tenis alebo iný šport","športové výkony: vyhral som zápas, dosiahol som osobný rekord",rodina;zdravie;šťastie a radosť,"súcitím s ľuďmi, ktorí majú ťažkosti (empatia)",mier a bezpečnosť,Policajt
dievča,mesto,8.ročník,čítam knihu,Jazyky,logické hry,Fantasy a Sci-fi film,do veľkého mesta,"Organizovanie udalostí, vedenie tímu alebo riadenie projektov","učebné úspechy: dosiahol som vysoké hodnotenie z testu, zvládol som náročné učivo, zvládol som skúšku",vzdelanie;príroda a životné prostredie;mier a spravodlivosť,"mám rád, keď som vzorom pre druhých",spravodlivosť,"spisovateľ, prekladateľ, ..."
dievča,mesto,8.ročník,počúvam hudbu,Hudba,vytváranie príbehov alebo scenárov,Komédia,do historického mesta,"Hudobné nástroje: Klavír, gitara, husle, spev alebo iný hudobný nástroj","športové výkony: vyhral som zápas, dosiahol som osobný rekord",rodina;zdravie;láska,rád robím dobré skutky,ochranu životného prostredia,herectvo
chlapec,mesto,8.ročník,počúvam hudbu,Geografia,vytváranie príbehov alebo scenárov,Fantasy a Sci-fi film,do historického mesta,"Hudobné nástroje: Klavír, gitara, husle, spev alebo iný hudobný nástroj",naprogramoval som aplikáciu,rodina;zdravie;zvieratá,radosť na oboch stranách,zlepšenie umeleckej oblasti,"veterinárske lekárstvo (napr. veterinárny lekár, veterinárny asistent)"
dievča,dedina,8.ročník,hrám videohry,Hudba,výtvarné hry,Animovaný film,na exotickú pláž/ostrov,"Umenie a kreatívne aktivity: Maľovanie, kreslenie, remeselné práce alebo vytváranie umeleckých diel",vytvoril som umelecké dielo,rodina;zdravie;priatelia,rád robím dobré skutky,zlepšenie vzdelávania,sociálna starostlivosť (napr. opatrovateľ)
dievča,dedina,8.ročník,venujem sa športu,Telesná výchova,športové hry,Romantický film,na exotickú pláž/ostrov,"Športové aktivity: Futbal, basketbal, plávanie, gymnastika, tenis alebo iný šport","športové výkony: vyhral som zápas, dosiahol som osobný rekord",rodina;priatelia;šťastie a radosť,rád robím dobré skutky,spravodlivosť,"športový odborník (napr. inštruktor, tréner)"
dievča,mesto,8.ročník,"Chodím von, čítam, hrám hry ",Geografia,role-playing hra,Romantický film,na exotickú pláž/ostrov,"Umenie a kreatívne aktivity: Maľovanie, kreslenie, remeselné práce alebo vytváranie umeleckých diel",Urobila by som radosť inému človeku ,rodina;zdravie;priatelia,radosť na oboch stranách,zlepšenie vzdelávania,"marketing a reklama (napr. grafik, marketingový analytik);obchod a služby so zákazníkom (maklér, predavač);pedagogické povolania (napr. učiteľ, vychovávateľ)"
chlapec,mesto,8.ročník,kreslím alebo maľujem,Dejepis,vytváranie príbehov alebo scenárov,Historický film,do historického mesta,"Umenie a kreatívne aktivity: Maľovanie, kreslenie, remeselné práce alebo vytváranie umeleckých diel","učebné úspechy: dosiahol som vysoké hodnotenie z testu, zvládol som náročné učivo, zvládol som skúšku",vzdelanie;Ja,Pomaham druhym aby som nedostal karmu,zlepšenie vzdelávania,"cestovný ruch a hotelierstvo (napr. delegát, pracovník cestovnej kancelárie);doprava a logistika (napr. pilot, lodný kapitán, rušňovodič, kuriér);zdravotníctvo (napr. lekár, farmaceut, masér)"
chlapec,dedina,8.ročník,hrám videohry,Výtvarná výchova,role-playing hra,Historický film,na hory,"Umenie a kreatívne aktivity: Maľovanie, kreslenie, remeselné práce alebo vytváranie umeleckých diel",vytvoril som umelecké dielo,rodina;vzdelanie;mier a spravodlivosť,vznikajú nové a silné priateľstvá,mier a bezpečnosť,Poľnohospodárstvo
dievča,dedina,8.ročník,venujem sa športu,Matematika,športové hry,Komédia,na exotickú pláž/ostrov,"Športové aktivity: Futbal, basketbal, plávanie, gymnastika, tenis alebo iný šport","naučil som sa niečo nové (jazyk, šport)",rodina;zdravie;vzdelanie,radosť na oboch stranách,spravodlivosť,"bankovníctvo (napr. bankový poradca);športový odborník (napr. inštruktor, tréner);zdravotníctvo (napr. lekár, farmaceut, masér)"
dievča,mesto,8.ročník,hrám sa vonku s priateľmi,Telesná výchova,športové hry,Horor,na exotickú pláž/ostrov,"Športové aktivity: Futbal, basketbal, plávanie, gymnastika, tenis alebo iný šport","športové výkony: vyhral som zápas, dosiahol som osobný rekord",rodina;zdravie;priatelia;láska;šťastie a radosť;sloboda,radosť na oboch stranách,spravodlivosť,"bankovníctvo (napr. bankový poradca);manažment (napr. vedúci predajne, projektový manažér);marketing a reklama (napr. grafik, marketingový analytik);športový odborník (napr. inštruktor, tréner);zdravotníctvo (napr. lekár, farmaceut, masér);veterinárske lekárstvo (napr. veterinárny lekár, veterinárny asistent)"
dievča,dedina,8.ročník,venujem sa športu,Matematika,športové hry,Romantický film,na exotickú pláž/ostrov,"Športové aktivity: Futbal, basketbal, plávanie, gymnastika, tenis alebo iný šport","učebné úspechy: dosiahol som vysoké hodnotenie z testu, zvládol som náročné učivo, zvládol som skúšku",rodina;zdravie;šťastie a radosť;dobrosrdečnosť a pomoc druhým,rád robím dobré skutky,mier a bezpečnosť,"architektúra, stavebníctvo, geodézia (napr. architekt, stavebný dozor, geodet)"
dievča,mesto,8.ročník,venujem sa športu,Matematika,športové hry,Romantický film,na exotickú pláž/ostrov,"Športové aktivity: Futbal, basketbal, plávanie, gymnastika, tenis alebo iný šport","športové výkony: vyhral som zápas, dosiahol som osobný rekord",rodina;priatelia;láska;šťastie a radosť,"súcitím s ľuďmi, ktorí majú ťažkosti (empatia)",spravodlivosť,Architektúra 
chlapec,mesto,8.ročník,venujem sa športu,Telesná výchova,logické hry,Fantasy a Sci-fi film,na hory,"Hranie logických hier (šach, sudoku), riešenie matematických hádaniek alebo účasť na matematických súťažiach","športové výkony: vyhral som zápas, dosiahol som osobný rekord",rodina;zdravie;priatelia,radosť na oboch stranách,spravodlivosť,"remeselné živnosti (napr. kuchár, kaderník, murár, tesár, mäsiar, manikúra)"
chlapec,dedina,8.ročník,venujem sa športu,Telesná výchova,športové hry,Akčný film,na hory,"Športové aktivity: Futbal, basketbal, plávanie, gymnastika, tenis alebo iný šport","športové výkony: vyhral som zápas, dosiahol som osobný rekord",rodina;zdravie;priatelia,vznikajú nové a silné priateľstvá,lepšiu zdravotnícku starostlivosť,"remeselné živnosti (napr. kuchár, kaderník, murár, tesár, mäsiar, manikúra)"
dievča,mesto,8.ročník,venujem sa športu,Matematika,športové hry,Romantický film,na exotickú pláž/ostrov,"Športové aktivity: Futbal, basketbal, plávanie, gymnastika, tenis alebo iný šport","športové výkony: vyhral som zápas, dosiahol som osobný rekord",rodina;priatelia;láska;vzdelanie;šťastie a radosť;sloboda,"súcitím s ľuďmi, ktorí majú ťažkosti (empatia)",spravodlivosť,Stavebníctvo 
chlapec,mesto,8.ročník,venujem sa športu,Matematika,športové hry,Fantasy a Sci-fi film,do polárnych oblastí,"Športové aktivity: Futbal, basketbal, plávanie, gymnastika, tenis alebo iný šport","športové výkony: vyhral som zápas, dosiahol som osobný rekord",rodina;priatelia,radosť na oboch stranách,zlepšenie inovácií a technológií,"ekonomika, financie, účtovníctvo (napr. audítor, daňový špecialista, účtovník);informačné technológie (napr. programátor, IT analytik, web dizajnér)"
chlapec,mesto,8.ročník,venujem sa športu,Telesná výchova,športové hry,Komédia,do veľkého mesta,"Športové aktivity: Futbal, basketbal, plávanie, gymnastika, tenis alebo iný šport","športové výkony: vyhral som zápas, dosiahol som osobný rekord",rodina;zdravie;šťastie a radosť,rád robím dobré skutky,spravodlivosť,"bankovníctvo (napr. bankový poradca);ekonomika, financie, účtovníctvo (napr. audítor, daňový špecialista, účtovník);marketing a reklama (napr. grafik, marketingový analytik);obchod a služby so zákazníkom (maklér, predavač);športový odborník (napr. inštruktor, tréner)"
chlapec,mesto,8.ročník,hrám videohry,Telesná výchova,športové hry,Akčný film,na hory,"Športové aktivity: Futbal, basketbal, plávanie, gymnastika, tenis alebo iný šport","naučil som sa niečo nové (jazyk, šport)",rodina;zdravie;mier a spravodlivosť,radosť na oboch stranách,boj proti chudobe,"športový odborník (napr. inštruktor, tréner)"
dievča,mesto,8.ročník,venujem sa športu,Telesná výchova,športové hry,Romantický film,na festival,"Športové aktivity: Futbal, basketbal, plávanie, gymnastika, tenis alebo iný šport","športové výkony: vyhral som zápas, dosiahol som osobný rekord",rodina;zdravie;dobrosrdečnosť a pomoc druhým,"súcitím s ľuďmi, ktorí majú ťažkosti (empatia)",lepšiu zdravotnícku starostlivosť,"športový odborník (napr. inštruktor, tréner)"
chlapec,dedina,7.ročník,hrám sa vonku s priateľmi,Telesná výchova,športové hry,Akčný film,na exotickú pláž/ostrov,"Športové aktivity: Futbal, basketbal, plávanie, gymnastika, tenis alebo iný šport","naučil som sa niečo nové (jazyk, šport)",zdravie,vznikajú nové a silné priateľstvá,mier a bezpečnosť,"športový odborník (napr. inštruktor, tréner)"
dievča,dedina,7.ročník,hrám sa vonku s priateľmi,Telesná výchova,logické hry,hororový film,na exotickú pláž/ostrov,"Hranie logických hier (šach, sudoku), riešenie matematických hádaniek alebo účasť na matematických súťažiach",úspešne som prekonal svoj strach,rodina;priatelia;šťastie a radosť,"súcitím s ľuďmi, ktorí majú ťažkosti (empatia)",spravodlivosť,"sociálna starostlivosť (napr. opatrovateľ);zdravotníctvo (napr. lekár, farmaceut, masér)"
chlapec,mesto,7.ročník,venujem sa športu,Telesná výchova,športové hry,Akčný film,do veľkého mesta,"Športové aktivity: Futbal, basketbal, plávanie, gymnastika, tenis alebo iný šport","športové výkony: vyhral som zápas, dosiahol som osobný rekord",rodina;zdravie;priatelia;láska;vzdelanie;príroda a životné prostredie;mier a spravodlivosť;šťastie a radosť;sloboda;dobrosrdečnosť a pomoc druhým,vznikajú nové a silné priateľstvá,mier a bezpečnosť,"športový odborník (napr. inštruktor, tréner)"
